Time_point,Pain_Score,Animal_Name,Animal_Condition_Sex
6,2.2,PM2023-81,LNIO_Male
10,2.0,PM2023-81,LNIO_Male
13,2.3,PM2023-81,LNIO_Male
-1,1.4,PM2023-84,LNIO_Male
3,1.2,PM2023-84,LNIO_Male
6,2.6,PM2023-84,LNIO_Male
10,2.6,PM2023-84,LNIO_Male
13,3.0,PM2023-84,LNIO_Male
-1,1.2,PM2023-109,LNIO_Male
3,1.2,PM2023-109,LNIO_Male
6,1.2,PM2023-109,LNIO_Male
10,2.0,PM2023-109,LNIO_Male
13,2.3,PM2023-109,LNIO_Male
-1,1.0,PM2023-110,LNIO_Male
3,1.2,PM2023-110,LNIO_Male
6,1.0,PM2023-110,LNIO_Male
10,1.6,PM2023-110,LNIO_Male
13,2.4,PM2023-110,LNIO_Male
-1,1.4,PM2023-111,LNIO_Male
3,2.0,PM2023-111,LNIO_Male
6,1.8,PM2023-111,LNIO_Male
10,2.0,PM2023-111,LNIO_Male
13,2.4,PM2023-111,LNIO_Male
-1,1.0,PM2023-113,LNIO_Male
3,1.0,PM2023-113,LNIO_Male
6,1.2,PM2023-113,LNIO_Male
10,1.6,PM2023-113,LNIO_Male
13,2.0,PM2023-113,LNIO_Male
-1,1.0,KH2022-40,LNIO_Male
6,1.0,KH2022-40,LNIO_Male
10,1.0,KH2022-40,LNIO_Male
13,2.0,KH2022-40,LNIO_Male
17,3.2,KH2022-40,LNIO_Male
20,3.0,KH2022-40,LNIO_Male
-1,1.0,KH2022-44,LNIO_Male
6,1.0,KH2022-44,LNIO_Male
10,1.0,KH2022-44,LNIO_Male
13,1.0,KH2022-44,LNIO_Male
17,1.0,KH2022-44,LNIO_Male
20,1.2,KH2022-44,LNIO_Male
-1,1.0,KH2022-47,LNIO_Male
6,1.8,KH2022-47,LNIO_Male
10,2.0,KH2022-47,LNIO_Male
13,3.0,KH2022-47,LNIO_Male
17,3.0,KH2022-47,LNIO_Male
20,3.0,KH2022-47,LNIO_Male
-1,1.0,KH2022-48,LNIO_Male
6,1.4,KH2022-48,LNIO_Male
10,2.0,KH2022-48,LNIO_Male
13,3.0,KH2022-48,LNIO_Male
17,3.0,KH2022-48,LNIO_Male
20,3.0,KH2022-48,LNIO_Male
-1,1.0,KH2022-51,LNIO_Male
6,1.8,KH2022-51,LNIO_Male
10,2.0,KH2022-51,LNIO_Male
13,2.0,KH2022-51,LNIO_Male
