Slice_Name,Animal_Name,Slice_Condition_Sex,AIS_length,AIS_dist,Day_Post_Surgery
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,16.0577742127504,10.1254886296965,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,28.3816093479208,0.904355518528082,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,18.1254762367524,2.49871103705616,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,25.20087005092,1.24935551852807,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,17.4311887792609,1.56475919754679,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,26.0063615206775,0.0,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,18.6394865844152,8.43008495067779,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,20.9894182114106,0.0,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,22.1550626928825,2.35580735803743,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,19.1242944822816,8.86387391362165,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,24.9850070247901,2.49871103705614,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,27.1273705337317,3.96242207411232,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,22.7395324446738,6.34782575313104,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,12.2789196598456,3.53371103705609,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,23.9190243972431,3.9328257531310298,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,19.274574063186,1.90975919754678,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,19.6067190274697,4.33701839509356,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,24.3946688787149,5.81806655558426,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,16.6451046803801,1.80871103705615,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,7.9604300645258,9.17927759264042,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,16.8473148656392,8.62710334577142,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,21.1254564500329,7.06742207411234,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,16.4791901138696,7.13887391362166,27.0
SHAM rat MZ_2024_15 Contra 1,MZ_2024_15,SHAM_Male,16.0864588642994,4.52177759264034,27.0
